ID,Year,Mnth,Day,Flow0,SYM
13340000,1980,6,3,26700.0,A
13340000,1980,6,4,24700.0,A
13340000,1980,6,5,23500.0,A
13340000,1980,6,6,23800.0,A
13340000,1980,6,7,23200.0,A
13340000,1980,6,8,21500.0,A
13340000,1980,6,9,22200.0,A
13340000,1980,6,10,24700.0,A
13340000,1980,6,11,26200.0,A
13340000,1980,6,12,27600.0,A
13340000,1980,6,13,27100.0,A
13340000,1980,6,14,24100.0,A
13340000,1980,6,15,28900.0,A
13340000,1980,6,16,25800.0,A
13340000,1980,6,17,24400.0,A
13340000,1980,6,18,24100.0,A
13340000,1980,6,19,22800.0,A
13340000,1980,6,20,21100.0,A
13340000,1980,6,21,19400.0,A
13340000,1980,6,22,18100.0,A
13340000,1980,6,23,17200.0,A
13340000,1980,6,24,15900.0,A
13340000,1980,6,25,14000.0,A
13340000,1980,6,26,13000.0,A
13340000,1980,6,27,14400.0,A
13340000,1980,6,28,13200.0,A
13340000,1980,6,29,11400.0,A
13340000,1980,6,30,10600.0,A
13340000,1980,7,1,10400.0,A
13340000,1980,7,2,10700.0,A
13340000,1980,7,3,13100.0,A
13340000,1980,7,4,14400.0,A
13340000,1980,7,5,12700.0,A
13340000,1980,7,6,11600.0,A
13340000,1980,7,7,10700.0,A
13340000,1980,7,8,9750.0,A
13340000,1980,7,9,9270.0,A
13340000,1980,7,10,8850.0,A
13340000,1980,7,11,8250.0,A
13340000,1980,7,12,7560.0,A
13340000,1980,7,13,7250.0,A
13340000,1980,7,14,7210.0,A
13340000,1980,7,15,7800.0,A
13340000,1980,7,16,7450.0,A
13340000,1980,7,17,6550.0,A
13340000,1980,7,18,6010.0,A
13340000,1980,7,19,5640.0,A
13340000,1980,7,20,5310.0,A
13340000,1980,7,21,5030.0,A
13340000,1980,7,22,4770.0,A
13340000,1980,7,23,4510.0,A
13340000,1980,7,24,4260.0,A
13340000,1980,7,25,4060.0,A
13340000,1980,7,26,3860.0,A
13340000,1980,7,27,3690.0,A
13340000,1980,7,28,3520.0,A
13340000,1980,7,29,3380.0,A
13340000,1980,7,30,3210.0,A
13340000,1980,7,31,3060.0,A
13340000,1980,8,1,2990.0,A
13340000,1980,8,2,2960.0,A
13340000,1980,8,3,2830.0,A
13340000,1980,8,4,2750.0,A
13340000,1980,8,5,2700.0,A
13340000,1980,8,6,2590.0,A
13340000,1980,8,7,2480.0,A
13340000,1980,8,8,2400.0,A
13340000,1980,8,9,2320.0,A
13340000,1980,8,10,2240.0,A
13340000,1980,8,11,2170.0,A
13340000,1980,8,12,2110.0,A
13340000,1980,8,13,2060.0,A
13340000,1980,8,14,1980.0,A
13340000,1980,8,15,1930.0,A
13340000,1980,8,16,1880.0,A
13340000,1980,8,17,1850.0,A
13340000,1980,8,18,2040.0,A
13340000,1980,8,19,2930.0,A
13340000,1980,8,20,2540.0,A
13340000,1980,8,21,2180.0,A
13340000,1980,8,22,2010.0,A
13340000,1980,8,23,1880.0,A
13340000,1980,8,24,1800.0,A
13340000,1980,8,25,1730.0,A
13340000,1980,8,26,1660.0,A
13340000,1980,8,27,1620.0,A
13340000,1980,8,28,1600.0,A
13340000,1980,8,29,1610.0,A
13340000,1980,8,30,1580.0,A
13340000,1980,8,31,1580.0,A
13340000,1980,9,1,1730.0,A
13340000,1980,9,2,1930.0,A
13340000,1980,9,3,2480.0,A
13340000,1980,9,4,2580.0,A
13340000,1980,9,5,2060.0,A
13340000,1980,9,6,1780.0,A
13340000,1980,9,7,1670.0,A
13340000,1980,9,8,1620.0,A
13340000,1980,9,9,1570.0,A
13340000,1980,9,10,1530.0,A
13340000,1980,9,11,1580.0,A
13340000,1980,9,12,2630.0,A
13340000,1980,9,13,2390.0,A
13340000,1980,9,14,2390.0,A
13340000,1980,9,15,2380.0,A
13340000,1980,9,16,1950.0,A
13340000,1980,9,17,1760.0,A
13340000,1980,9,18,1680.0,A
13340000,1980,9,19,1870.0,A
13340000,1980,9,20,3360.0,A
13340000,1980,9,21,6110.0,A
13340000,1980,9,22,5670.0,A
13340000,1980,9,23,4160.0,A
13340000,1980,9,24,3650.0,A
13340000,1980,9,25,3450.0,A
13340000,1980,9,26,3080.0,A
13340000,1980,9,27,2790.0,A
13340000,1980,9,28,2580.0,A
13340000,1980,9,29,2410.0,A
13340000,1980,9,30,2270.0,A
13340000,1980,10,1,2170.0,A
13340000,1980,10,2,2070.0,A
13340000,1980,10,3,2000.0,A
13340000,1980,10,4,1930.0,A
13340000,1980,10,5,1870.0,A
13340000,1980,10,6,1810.0,A
13340000,1980,10,7,1760.0,A
13340000,1980,10,8,1720.0,A
13340000,1980,10,9,1690.0,A
13340000,1980,10,10,1650.0,A
13340000,1980,10,11,1620.0,A
13340000,1980,10,12,1610.0,A
13340000,1980,10,13,1720.0,A
13340000,1980,10,14,1990.0,A
13340000,1980,10,15,1930.0,A
13340000,1980,10,16,1900.0,A
13340000,1980,10,17,1900.0,A
13340000,1980,10,18,1790.0,A
13340000,1980,10,19,1770.0,A
13340000,1980,10,20,1740.0,A
13340000,1980,10,21,1710.0,A
13340000,1980,10,22,1710.0,A
13340000,1980,10,23,1710.0,A
13340000,1980,10,24,1680.0,A
13340000,1980,10,25,1600.0,A
13340000,1980,10,26,1600.0,A
13340000,1980,10,27,1770.0,A
13340000,1980,10,28,1770.0,A
13340000,1980,10,29,1660.0,A
13340000,1980,10,30,1600.0,A
13340000,1980,10,31,1600.0,A
13340000,1980,11,1,1630.0,A
13340000,1980,11,2,1630.0,A
13340000,1980,11,3,1770.0,A
13340000,1980,11,4,1880.0,A
13340000,1980,11,5,1830.0,A
13340000,1980,11,6,1880.0,A
13340000,1980,11,7,3200.0,A
13340000,1980,11,8,11300.0,A
13340000,1980,11,9,9210.0,A
13340000,1980,11,10,7130.0,A
13340000,1980,11,11,5880.0,A
13340000,1980,11,12,5030.0,A
13340000,1980,11,13,4510.0,A
13340000,1980,11,14,3850.0,A
13340000,1980,11,15,3160.0,A
13340000,1980,11,16,2860.0,A
13340000,1980,11,17,2760.0,A
13340000,1980,11,18,3080.0,A
13340000,1980,11,19,3490.0,A
13340000,1980,11,20,3280.0,A
13340000,1980,11,21,3020.0,A
13340000,1980,11,22,3400.0,A
13340000,1980,11,23,3470.0,A
13340000,1980,11,24,2740.0,A
13340000,1980,11,25,2700.0,A
13340000,1980,11,26,2460.0,A
13340000,1980,11,27,2590.0,A
