x,y,SPEED_MAX_GUST,MAX_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION,SNOW_ON_GROUND,LOCAL_YEAR,LOCAL_MONTH,PROVINCE_CODE,DIRECTION_MAX_GUST_FLAG,STATION_NAME,MIN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS,MAX_REL_HUMIDITY,TOTAL_SNOW_FLAG,TOTAL_RAIN_FLAG,LOCAL_DATE,TOTAL_SNOW,MEAN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,MAX_TEMPERATURE,LOCAL_DAY,HEATING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST_FLAG,MEAN_TEMPERATURE,MIN_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST,TOTAL_RAIN,CLIMATE_IDENTIFIER,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,ID,MIN_TEMPERATURE
-118.02972222222222,52.92638888888889,39,,0,,1994,4,AB,,JASPER WARDEN,,10.5,,M,M,1994-04-15 00:00:00,,,,13.5,15,,,,7.5,,31,,3053536,,0,,,3053536.1994.4.15,1.5
-118.02972222222222,52.92638888888889,35,,0,,1994,4,AB,,JASPER WARDEN,,6.2,,M,M,1994-04-16 00:00:00,,,,18,16,,,,11.8,,16,,3053536,,0,,,3053536.1994.4.16,5.5
-118.02972222222222,52.92638888888889,37,,0,,1994,4,AB,,JASPER WARDEN,,7.7,,M,M,1994-04-17 00:00:00,,,,16.2,17,,,,10.3,,29,,3053536,,0,,,3053536.1994.4.17,4.4
-118.02972222222222,52.92638888888889,0,,0,,1994,4,AB,,JASPER WARDEN,,11.7,,M,M,1994-04-18 00:00:00,,,,16.8,18,,,,6.3,,0,,3053536,,0,,,3053536.1994.4.18,-4.3
-118.02972222222222,52.92638888888889,0,,0.4,,1994,4,AB,,JASPER WARDEN,,11.8,,M,M,1994-04-19 00:00:00,,,,15.5,19,,,,6.2,,0,,3053536,,0,,,3053536.1994.4.19,-3.2
-118.02972222222222,52.92638888888889,0,,0,,1994,4,AB,,JASPER WARDEN,,8.1,,M,M,1994-04-20 00:00:00,,,,19.1,20,,,,9.9,,0,,3053536,,0,,,3053536.1994.4.20,0.6
-118.02972222222222,52.92638888888889,32,,0,,1994,4,AB,,JASPER WARDEN,,10.7,,M,M,1994-04-21 00:00:00,,,,17.7,21,,,,7.3,,17,,3053536,,0,,,3053536.1994.4.21,-3.1
-118.02972222222222,52.92638888888889,32,,0,,1994,4,AB,,JASPER WARDEN,,9.7,,M,M,1994-04-22 00:00:00,,,,15.4,22,,,,8.3,,25,,3053536,,0,,,3053536.1994.4.22,1.1
-118.02972222222222,52.92638888888889,43,,0,,1994,4,AB,,JASPER WARDEN,,12.5,,M,M,1994-04-23 00:00:00,,,,15.9,23,,,,5.5,,36,,3053536,,0,,,3053536.1994.4.23,-4.9
-118.02972222222222,52.92638888888889,54,,0,,1994,4,AB,,JASPER WARDEN,,14.9,,M,M,1994-04-24 00:00:00,,,,6.4,24,,,,3.1,,32,,3053536,,0,,,3053536.1994.4.24,-0.2
-118.02972222222222,52.92638888888889,46,,0,,1994,4,AB,,JASPER WARDEN,,16.5,,M,M,1994-04-25 00:00:00,,,,4,25,,,,1.5,,33,,3053536,,0,,,3053536.1994.4.25,-1
-118.02972222222222,52.92638888888889,43,,0,,1994,4,AB,,JASPER WARDEN,,12.9,,M,M,1994-04-26 00:00:00,,,,10.6,26,,,,5.1,,34,,3053536,,0,,,3053536.1994.4.26,-0.4
